replicate	nipagin	time	OD	background	OD_corrected
e	0.2	10	0.099	0.092604167	0.006395833
e	0.02	10	0.642	0.092604167	0.549395833
e	0.002	10	0.766	0.092604167	0.673395833
e	0.0002	10	0.753	0.092604167	0.660395833
e	0.00002	10	0.76	0.092604167	0.667395833
e	0.000002	10	0.754	0.092604167	0.661395833
f	0.2	10	0.095	0.092604167	0.002395833
f	0.02	10	0.721	0.092604167	0.628395833
f	0.002	10	0.841	0.092604167	0.748395833
f	0.0002	10	0.807	0.092604167	0.714395833
f	0.00002	10	0.828	0.092604167	0.735395833
f	0.000002	10	0.833	0.092604167	0.740395833
g	0.2	10	0.092	0.092604167	-0.000604167
g	0.02	10	0.684	0.092604167	0.591395833
g	0.002	10	0.817	0.092604167	0.724395833
g	0.0002	10	0.806	0.092604167	0.713395833
g	0.00002	10	0.786	0.092604167	0.693395833
g	0.000002	10	0.781	0.092604167	0.688395833
h	0.2	10	0.091	0.092604167	-0.001604167
h	0.02	10	0.742	0.092604167	0.649395833
h	0.002	10	0.879	0.092604167	0.786395833
h	0.0002	10	0.875	0.092604167	0.782395833
h	0.00002	10	0.846	0.092604167	0.753395833
h	0.000002	10	0.898	0.092604167	0.805395833
a	0.2	11	0.092	0.092604167	-0.000604167
a	0.02	11	0.694	0.092604167	0.601395833
a	0.002	11	0.896	0.092604167	0.803395833
a	0.0002	11	0.931	0.092604167	0.838395833
a	0.00002	11	0.921	0.092604167	0.828395833
a	0.000002	11	1.031	0.092604167	0.938395833
b	0.2	11	0.092	0.092604167	-0.000604167
b	0.02	11	0.69	0.092604167	0.597395833
b	0.002	11	0.856	0.092604167	0.763395833
b	0.0002	11	0.91	0.092604167	0.817395833
b	0.00002	11	0.888	0.092604167	0.795395833
b	0.000002	11	0.97	0.092604167	0.877395833
c	0.2	11	0.091	0.092604167	-0.001604167
c	0.02	11	0.671	0.092604167	0.578395833
c	0.002	11	0.878	0.092604167	0.785395833
c	0.0002	11	0.815	0.092604167	0.722395833
c	0.00002	11	0.806	0.092604167	0.713395833
c	0.000002	11	0.882	0.092604167	0.789395833
d	0.2	11	0.089	0.092604167	-0.003604167
d	0.02	11	0.73	0.092604167	0.637395833
d	0.002	11	0.882	0.092604167	0.789395833
d	0.0002	11	0.883	0.092604167	0.790395833
d	0.00002	11	0.901	0.092604167	0.808395833
d	0.000002	11	0.887	0.092604167	0.794395833
e	0.2	11	0.099	0.092604167	0.006395833
e	0.02	11	0.743	0.092604167	0.650395833
e	0.002	11	0.89	0.092604167	0.797395833
e	0.0002	11	0.892	0.092604167	0.799395833
e	0.00002	11	0.881	0.092604167	0.788395833
e	0.000002	11	0.885	0.092604167	0.792395833
f	0.2	11	0.095	0.092604167	0.002395833
f	0.02	11	0.797	0.092604167	0.704395833
f	0.002	11	0.939	0.092604167	0.846395833
